Director,Genre,Runtime
Aamir Khan,"Drama, Family",165 min
Aaron Sorkin,"Drama, History, Thriller",129 min
Abdellatif Kechiche,"Drama, Romance",180 min
Abhishek Chaubey,"Action, Crime, Drama",148 min
Abhishek Kapoor,"Drama, Sport",130 min
Adam Elliot,"Animation, Comedy, Drama",92 min
Adam McKay,"Biography, Comedy, Drama",130 min
Aditya Chopra,"Drama, Romance",189 min
Aditya Dhar,"Action, Drama, War",138 min
Akira Kurosawa,"Action, Adventure, Drama",207 min
Akira Kurosawa,"Action, Comedy, Crime",96 min
Akira Kurosawa,"Action, Drama, Thriller",110 min
Akira Kurosawa,"Action, Drama, War",162 min
Akira Kurosawa,"Adventure, Drama",139 min
Akira Kurosawa,"Crime, Drama, Mystery",143 min88 min
Akira Kurosawa,Drama,143 min
Akira Kurosawa,"Drama, History",110 min
Akira Kurosawa,"Drama, History, War",180 min
Alain Resnais,"Drama, Romance",90 min
Alan J. Pakula,"Biography, Drama, History",138 min
Alan Parker,"Biography, Crime, Drama",121 min
Alan Parker,"Crime, Drama, History",128 min
Alan Parker,"Drama, Fantasy, Music",95 min
Alejandro Amenábar,"Biography, Drama",126 min
Alejandro Amenábar,"Drama, Mystery, Sci-Fi",119 min
Alejandro Amenábar,"Horror, Mystery, Thriller",101 min
Alejandro G. Iñárritu,"Action, Adventure, Drama",156 min
Alejandro G. Iñárritu,"Comedy, Drama",119 min
Alejandro G. Iñárritu,"Crime, Drama, Thriller",124 min
Alejandro G. Iñárritu,"Drama, Thriller",154 min
Alejandro Jodorowsky,"Adventure, Drama, Fantasy",114 min
Alex Garland,"Drama, Sci-Fi, Thriller",108 min
Alex Proyas,"Mystery, Sci-Fi, Thriller",100 min
Alexander Mackendrick,"Comedy, Crime",91 min
Alexander Mackendrick,"Drama, Film-Noir",96 min
Alexander Payne,"Adventure, Comedy, Drama",115 min
Alfonso Cuarón,"Adventure, Drama, Sci-Fi",109 min
Alfonso Cuarón,"Adventure, Family, Fantasy",142 min
